Nível;Indicador;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;Unidade
1;Veículo;147134;164264;183771;204679;230820;256381;278565;298796;317343;337157;355132;370096;387392;404613;416052;429369;440454;456413;veículos
1.1;Tipo;;;;;;;;;;;;;;;;;;;
1.1.1;Automóvel;100033;109320;118120;128651;140792;151316;162469;172667;181934;189677;195416;201990;209624;217923;222797;226454;228445;231820;veículos
1.1.2;Bonde;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;veículos
1.1.3;Caminhão;3523;3798;4033;4268;4631;5031;5383;5610;5991;6169;6115;6054;6142;6382;6490;6685;6838;7061;veículos
1.1.4;Caminhão trator;203;228;254;279;315;372;417;453;521;576;583;592;611;658;711;834;856;928;veículos
1.1.5;Caminhonete;7507;9283;12004;13225;14918;16455;18168;19667;21087;22117;22928;23586;24654;25720;26516;28051;28761;30172;veículos
1.1.6;Camioneta;6880;6299;4786;5261;5997;7033;7992;9022;10206;11242;12109;12866;13595;14123;14406;14958;15786;17226;veículos
1.1.7;Chassi plataforma;30;23;22;15;15;13;12;12;7;7;6;4;4;3;3;3;3;3;veículos
1.1.8;Ciclomotor;41;41;41;65;65;65;65;66;66;3411;7344;8019;8463;8607;8992;9603;10483;11258;veículos
1.1.9;Micro-ônibus;515;558;603;677;779;872;944;1021;1101;1143;1148;1122;1130;1154;1197;1194;1152;1132;veículos
1.1.10;Motocicleta;24394;29871;37902;45146;54778;65218;71717;77126;82004;87231;92835;97900;103803;109064;112251;116591;120924;126733;veículos
1.1.11;Motoneta;1422;1833;2410;2823;3264;3700;4046;4392;4698;5101;5370;5670;6052;6617;7107;7708;8568;10064;veículos
1.1.12;Ônibus;912;916;977;1018;1312;1538;1733;2315;2412;2404;2343;2478;2430;2382;2439;2435;2654;2812;veículos
1.1.13;Quadriciclo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;veículos
1.1.14;Reboque;632;688;779;887;1237;1373;1538;1742;1874;2049;2238;2438;2634;2878;3170;3406;3598;3888;veículos
1.1.15;Semi-reboque;480;522;562;609;496;629;855;961;1130;1279;1387;1423;1421;1446;1476;1551;1597;1697;veículos
1.1.16;Sidecar;14;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;16;veículos
1.1.17;Trator de esteira;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;veículos
1.1.18;Trator de rodas;14;15;15;15;17;17;17;17;17;17;18;18;18;18;18;19;19;19;veículos
1.1.19;Triciclo;6;11;25;28;40;59;73;83;92;109;118;113;117;118;118;128;127;133;veículos
1.1.20;Utilitário;510;826;1206;1680;2132;2654;3098;3602;4159;4579;5124;5775;6643;7467;8301;9675;10549;11363;veículos
1.1.21;Outros;18;17;17;17;17;21;23;25;29;31;35;33;36;38;45;59;79;88;veículos



Fonte: Ministério dos Transportes, SENATRAN - Secretaria Nacional de Trânsito - 2023
